"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","2/12","148/18284",0.00407273970355355,0.0471951689835113,0.0227165230824818,"plxna1a/cdkl5",2
"GO:0045597","BP","GO:0045597","positive regulation of cell differentiation","2/12","151/18284",0.00423546388313563,0.0471951689835113,0.0227165230824818,"plxna1a/cdkl5",2
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","2/12","157/18284",0.00456990736478288,0.0476550404636319,0.0229378737274341,"plxna1a/cdkl5",2
"GO:0040008","BP","GO:0040008","regulation of growth","2/12","159/18284",0.00468404243873305,0.0476550404636319,0.0229378737274341,"mul1a/cdkl5",2
"GO:0016049","BP","GO:0016049","cell growth","2/12","163/18284",0.00491627500507005,0.0479336812994329,0.023071992348355,"mul1a/cdkl5",2
"GO:0051960","BP","GO:0051960","regulation of nervous system development","2/12","178/18284",0.00583381935440786,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0016572","BP","GO:0016572","histone phosphorylation","1/12","10/18284",0.00654537199260741,0.0521357829321458,0.0250945963730976,"rps6ka4",1
"GO:0016926","BP","GO:0016926","protein desumoylation","1/12","10/18284",0.00654537199260741,0.0521357829321458,0.0250945963730976,"senp6b",1
"GO:0071786","BP","GO:0071786","endoplasmic reticulum tubular network organization","1/12","10/18284",0.00654537199260741,0.0521357829321458,0.0250945963730976,"tmem33",1
"GO:0060284","BP","GO:0060284","regulation of cell development","2/12","193/18284",0.00682408807684049,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0007530","BP","GO:0007530","sex determination","1/12","11/18284",0.00719774451838662,0.0521357829321458,0.0250945963730976,"gdf9",1
"GO:1902285","BP","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance","1/12","12/18284",0.0078497243282577,0.0521357829321458,0.0250945963730976,"plxna1a",1
"GO:1902287","BP","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance","1/12","12/18284",0.0078497243282577,0.0521357829321458,0.0250945963730976,"plxna1a",1
"GO:0120035","BP","GO:0120035","regulation of plasma membrane bounded cell projection organization","2/12","208/18284",0.00788581105671239,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0031344","BP","GO:0031344","regulation of cell projection organization","2/12","210/18284",0.00803270525378131,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0051382","BP","GO:0051382","kinetochore assembly","1/12","13/18284",0.00850131163714885,0.0521357829321458,0.0250945963730976,"senp6b",1
"GO:0051130","BP","GO:0051130","positive regulation of cellular component organization","2/12","220/18284",0.00878579220342862,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0033555","BP","GO:0033555","multicellular organismal response to stress","1/12","14/18284",0.00915250665988165,0.0521357829321458,0.0250945963730976,"pomca",1
"GO:0051383","BP","GO:0051383","kinetochore organization","1/12","14/18284",0.00915250665988165,0.0521357829321458,0.0250945963730976,"senp6b",1
"GO:0090224","BP","GO:0090224","regulation of spindle organization","1/12","14/18284",0.00915250665988165,0.0521357829321458,0.0250945963730976,"senp6b",1
"GO:1903670","BP","GO:1903670","regulation of sprouting angiogenesis","1/12","14/18284",0.00915250665988165,0.0521357829321458,0.0250945963730976,"tmem33",1
"GO:0030334","BP","GO:0030334","regulation of cell migration","2/12","229/18284",0.00948987828077138,0.0521357829321458,0.0250945963730976,"plxna1a/rhogd",2
"GO:0051240","BP","GO:0051240","positive regulation of multicellular organismal process","2/12","229/18284",0.00948987828077138,0.0521357829321458,0.0250945963730976,"plxna1a/cdkl5",2
"GO:0030947","BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","1/12","15/18284",0.00980330961117271,0.0521357829321458,0.0250945963730976,"tmem33",1
"GO:0045773","BP","GO:0045773","positive regulation of axon extension","1/12","15/18284",0.00980330961117271,0.0521357829321458,0.0250945963730976,"cdkl5",1
"GO:0051094","BP","GO:0051094","positive regulation of developmental process","2/12","238/18284",0.0102186113460077,0.0531367789992401,0.0255764073455632,"plxna1a/cdkl5",2
"GO:2000145","BP","GO:2000145","regulation of cell motility","2/12","247/18284",0.010971726932734,0.0536202820305887,0.025809132601318,"plxna1a/rhogd",2
"GO:0000266","BP","GO:0000266","mitochondrial fission","1/12","17/18284",0.0111037401577628,0.0536202820305887,0.025809132601318,"mul1a",1
"GO:0051646","BP","GO:0051646","mitochondrion localization","1/12","17/18284",0.0111037401577628,0.0536202820305887,0.025809132601318,"mul1a",1
"GO:0016601","BP","GO:0016601","Rac protein signal transduction","1/12","18/18284",0.0117533681819649,0.0536202820305887,0.025809132601318,"rhogd",1
"GO:0040012","BP","GO:0040012","regulation of locomotion","2/12","260/18284",0.0121020742747543,0.0536202820305887,0.025809132601318,"plxna1a/rhogd",2
"GO:0051270","BP","GO:0051270","regulation of cellular component movement","2/12","260/18284",0.0121020742747543,0.0536202820305887,0.025809132601318,"plxna1a/rhogd",2
"GO:0032786","BP","GO:0032786","positive regulation of DNA-templated transcription, elongation","1/12","19/18284",0.0124026049925323,0.0536202820305887,0.025809132601318,"supt4h1",1
"GO:0006919","BP","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","1/12","20/18284",0.0130514508036513,0.0536202820305887,0.025809132601318,"mul1a",1
"GO:0034508","BP","GO:0034508","centromere complex assembly","1/12","20/18284",0.0130514508036513,0.0536202820305887,0.025809132601318,"senp6b",1
"GO:0051640","BP","GO:0051640","organelle localization","2/12","271/18284",0.0130972469299118,0.0536202820305887,0.025809132601318,"pomca/mul1a",2
"GO:0007411","BP","GO:0007411","axon guidance","2/12","277/18284",0.0136548495086662,0.0536202820305887,0.025809132601318,"plxna1a/rhogd",2
"GO:0048639","BP","GO:0048639","positive regulation of developmental growth","1/12","21/18284",0.0136999058294042,0.0536202820305887,0.025809132601318,"cdkl5",1
"GO:0050773","BP","GO:0050773","regulation of dendrite development","1/12","21/18284",0.0136999058294042,0.0536202820305887,0.025809132601318,"cdkl5",1
"GO:1902622","BP","GO:1902622","regulation of neutrophil migration","1/12","21/18284",0.0136999058294042,0.0536202820305887,0.025809132601318,"rhogd",1
"GO:0097485","BP","GO:0097485","neuron projection guidance","2/12","278/18284",0.0137487902642535,0.0536202820305887,0.025809132601318,"plxna1a/rhogd",2
"GO:0030307","BP","GO:0030307","positive regulation of cell growth","1/12","22/18284",0.0143479702837681,0.0550397548590449,0.0264923696352578,"cdkl5",1
"GO:0034243","BP","GO:0034243","regulation of transcription elongation from RNA polymerase II promoter","1/12","23/18284",0.0149956443806137,0.0565964642752196,0.02724166296648,"supt4h1",1
"GO:0051493","BP","GO:0051493","regulation of cytoskeleton organization","2/12","298/18284",0.0156873638948962,0.0568341133812069,0.0273560509752098,"senp6b/rhogd",2
"GO:0071363","BP","GO:0071363","cellular response to growth factor stimulus","2/12","298/18284",0.0156873638948962,0.0568341133812069,0.0273560509752098,"gdf9/tmem33",2
"GO:0070848","BP","GO:0070848","response to growth factor","2/12","299/18284",0.0157872537170019,0.0568341133812069,0.0273560509752098,"gdf9/tmem33",2
"GO:0043652","BP","GO:0043652","engulfment of apoptotic cell","1/12","25/18284",0.0162898223567077,0.0568928124099942,0.0273843046687781,"rhogd",1
"GO:1901019","BP","GO:1901019","regulation of calcium ion transmembrane transporter activity","1/12","25/18284",0.0162898223567077,0.0568928124099942,0.0273843046687781,"tmem33",1
"GO:0045927","BP","GO:0045927","positive regulation of growth","1/12","28/18284",0.0182281669801808,0.0618172619327871,0.029754597511508,"cdkl5",1
"GO:0048010","BP","GO:0048010","vascular endothelial growth factor receptor signaling pathway","1/12","28/18284",0.0182281669801808,0.0618172619327871,0.029754597511508,"tmem33",1
"GO:1902036","BP","GO:1902036","regulation of hematopoietic stem cell differentiation","1/12","30/18284",0.0195184509910706,0.0646321139724764,0.0311094745616508,"pomca",1
"GO:0032270","BP","GO:0032270","positive regulation of cellular protein metabolic process","2/12","338/18284",0.0198975642494718,0.0646321139724764,0.0311094745616508,"gdf9/mul1a",2
"GO:0032400","BP","GO:0032400","melanosome localization","1/12","31/18284",0.0201630099144905,0.0646321139724764,0.0311094745616508,"pomca",1
"GO:0032784","BP","GO:0032784","regulation of DNA-templated transcription, elongation","1/12","31/18284",0.0201630099144905,0.0646321139724764,0.0311094745616508,"supt4h1",1
"GO:0006397","BP","GO:0006397","mRNA processing","2/12","345/18284",0.0206787535640205,0.0649184028495406,0.0312472744260047,"supt4h1/si:dkey-86e18.1",2
"GO:0006368","BP","GO:0006368","transcription elongation from RNA polymerase II promoter","1/12","32/18284",0.0208071804004938,0.0649184028495406,0.0312472744260047,"supt4h1",1
"GO:0051247","BP","GO:0051247","positive regulation of protein metabolic process","2/12","359/18284",0.0222798101067882,0.065129950484362,0.0313490989735795,"gdf9/mul1a",2
"GO:0043280","BP","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","1/12","35/18284",0.0227373633616746,0.065129950484362,0.0313490989735795,"mul1a",1
"GO:0051875","BP","GO:0051875","pigment granule localization","1/12","35/18284",0.0227373633616746,0.065129950484362,0.0313490989735795,"pomca",1
"GO:0071103","BP","GO:0071103","DNA conformation change","1/12","35/18284",0.0227373633616746,0.065129950484362,0.0313490989735795,"top3b",1
"GO:2000736","BP","GO:2000736","regulation of stem cell differentiation","1/12","35/18284",0.0227373633616746,0.065129950484362,0.0313490989735795,"pomca",1
"GO:0043123","BP","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","1/12","36/18284",0.0233799822251556,0.065129950484362,0.0313490989735795,"mul1a",1
"GO:0043277","BP","GO:0043277","apoptotic cell clearance","1/12","36/18284",0.0233799822251556,0.065129950484362,0.0313490989735795,"rhogd",1
"GO:1901532","BP","GO:1901532","regulation of hematopoietic progenitor cell differentiation","1/12","36/18284",0.0233799822251556,0.065129950484362,0.0313490989735795,"pomca",1
"GO:2001056","BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","1/12","36/18284",0.0233799822251556,0.065129950484362,0.0313490989735795,"mul1a",1
"GO:1903169","BP","GO:1903169","regulation of calcium ion transmembrane transport","1/12","37/18284",0.0240222137142663,0.0661317412839801,0.0318312924758699,"tmem33",1
"GO:0010862","BP","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","1/12","38/18284",0.0246640580413026,0.0671091811821488,0.0323017651214122,"gdf9",1
"GO:0010950","BP","GO:0010950","positive regulation of endopeptidase activity","1/12","39/18284",0.0253055154184542,0.0672896659990713,0.0323886381551985,"mul1a",1
"GO:0010952","BP","GO:0010952","positive regulation of peptidase activity","1/12","39/18284",0.0253055154184542,0.0672896659990713,0.0323886381551985,"mul1a",1
"GO:0051336","BP","GO:0051336","regulation of hydrolase activity","2/12","392/18284",0.0262531783826952,0.0690252105792212,0.0332240104902234,"mul1a/plxna1a",2
"GO:0061024","BP","GO:0061024","membrane organization","2/12","399/18284",0.0271312004728464,0.0692527272304105,0.0333335214289425,"tmem33/rhogd",2
"GO:0006354","BP","GO:0006354","DNA-templated transcription, elongation","1/12","42/18284",0.0272275679709306,0.0692527272304105,0.0333335214289425,"supt4h1",1
"GO:0060393","BP","GO:0060393","regulation of pathway-restricted SMAD protein phosphorylation","1/12","42/18284",0.0272275679709306,0.0692527272304105,0.0333335214289425,"gdf9",1
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","1/12","45/18284",0.0291461456032457,0.0718522336259301,0.0345847458298449,"mul1a",1
"GO:0006935","BP","GO:0006935","chemotaxis","2/12","417/18284",0.0294441256961792,0.0718522336259301,0.0345847458298449,"plxna1a/rhogd",2
"GO:0051924","BP","GO:0051924","regulation of calcium ion transport","1/12","46/18284",0.0297849002637403,0.0718522336259301,0.0345847458298449,"tmem33",1
"GO:0060389","BP","GO:0060389","pathway-restricted SMAD protein phosphorylation","1/12","46/18284",0.0297849002637403,0.0718522336259301,0.0345847458298449,"gdf9",1
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","1/12","46/18284",0.0297849002637403,0.0718522336259301,0.0345847458298449,"plxna1a",1
"GO:0040007","BP","GO:0040007","growth","2/12","426/18284",0.030629935623009,0.0726833344245714,0.0349847808521329,"mul1a/cdkl5",2
"GO:0030308","BP","GO:0030308","negative regulation of cell growth","1/12","48/18284",0.0310612540275946,0.0726833344245714,0.0349847808521329,"mul1a",1
"GO:2000116","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","1/12","48/18284",0.0310612540275946,0.0726833344245714,0.0349847808521329,"mul1a",1
"GO:0060395","BP","GO:0060395","SMAD protein signal transduction","1/12","49/18284",0.0316988535533499,0.0727239071585402,0.0350043097884112,"gdf9",1
"GO:0042330","BP","GO:0042330","taxis","2/12","434/18284",0.0317001646588509,0.0727239071585402,0.0350043097884112,"plxna1a/rhogd",2
"GO:0009967","BP","GO:0009967","positive regulation of signal transduction","2/12","446/18284",0.0333336928810267,0.074861968754065,0.0360334262558927,"gdf9/mul1a",2
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","1/12","53/18284",0.0342454075383032,0.074861968754065,0.0360334262558927,"rhogd",1
"GO:0007029","BP","GO:0007029","endoplasmic reticulum organization","1/12","54/18284",0.0348810860589299,0.074861968754065,0.0360334262558927,"tmem33",1
"GO:0008045","BP","GO:0008045","motor neuron axon guidance","1/12","54/18284",0.0348810860589299,0.074861968754065,0.0360334262558927,"rhogd",1
"GO:0033059","BP","GO:0033059","cellular pigmentation","1/12","54/18284",0.0348810860589299,0.074861968754065,0.0360334262558927,"pomca",1
"GO:0045926","BP","GO:0045926","negative regulation of growth","1/12","54/18284",0.0348810860589299,0.074861968754065,0.0360334262558927,"mul1a",1
"GO:0016071","BP","GO:0016071","mRNA metabolic process","2/12","460/18284",0.0352815864425434,0.074861968754065,0.0360334262558927,"supt4h1/si:dkey-86e18.1",2
"GO:0043122","BP","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","1/12","55/18284",0.0355163810105091,0.074861968754065,0.0360334262558927,"mul1a",1
"GO:0033043","BP","GO:0033043","regulation of organelle organization","2/12","463/18284",0.0357048168612982,0.074861968754065,0.0360334262558927,"senp6b/rhogd",2
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","1/12","56/18284",0.0361512926034587,0.074861968754065,0.0360334262558927,"senp6b",1
"GO:1902115","BP","GO:1902115","regulation of organelle assembly","1/12","56/18284",0.0361512926034587,0.074861968754065,0.0360334262558927,"senp6b",1
"GO:0030865","BP","GO:0030865","cortical cytoskeleton organization","1/12","58/18284",0.0374199665546154,0.0767635574478809,0.0369487208588541,"rhogd",1
"GO:0016358","BP","GO:0016358","dendrite development","1/12","59/18284",0.0380537293331376,0.0767635574478809,0.0369487208588541,"cdkl5",1
"GO:0051225","BP","GO:0051225","spindle assembly","1/12","59/18284",0.0380537293331376,0.0767635574478809,0.0369487208588541,"senp6b",1
"GO:0090100","BP","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","1/12","60/18284",0.0386871095936592,0.0773742191873183,0.0372426516106301,"gdf9",1
"GO:0010647","BP","GO:0010647","positive regulation of cell communication","2/12","493/18284",0.0400478416135623,0.0790409201058308,0.0380448873203954,"gdf9/mul1a",2
"GO:0023056","BP","GO:0023056","positive regulation of signaling","2/12","494/18284",0.0401960234726234,0.0790409201058308,0.0380448873203954,"gdf9/mul1a",2
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","1/12","63/18284",0.0405849573656796,0.0791406668630752,0.0380928985800677,"rhogd",1
"GO:2001257","BP","GO:2001257","regulation of cation channel activity","1/12","67/18284",0.0431100785316579,0.0833699039372558,0.0401285637484767,"tmem33",1
"GO:0030516","BP","GO:0030516","regulation of axon extension","1/12","68/18284",0.043740406195797,0.0838955331952172,0.0403815656855072,"cdkl5",1
"GO:0007249","BP","GO:0007249","I-kappaB kinase/NF-kappaB signaling","1/12","69/18284",0.0443703532272887,0.0844118915055735,0.0406301052231056,"mul1a",1
"GO:0007162","BP","GO:0007162","negative regulation of cell adhesion","1/12","70/18284",0.0449999198350993,0.0849192035597842,0.0408742905123568,"plxna1a",1
"GO:0099024","BP","GO:0099024","plasma membrane invagination","1/12","74/18284",0.0475143862052531,0.0889469309762337,0.0428129627281017,"rhogd",1
"GO:0010324","BP","GO:0010324","membrane invagination","1/12","75/18284",0.0481420538255458,0.0894066713902994,0.0430342502868288,"rhogd",1
"GO:0070507","BP","GO:0070507","regulation of microtubule cytoskeleton organization","1/12","76/18284",0.0487693422737907,0.0898584731658821,0.0432517167285172,"senp6b",1
"GO:0007218","BP","GO:0007218","neuropeptide signaling pathway","1/12","79/18284",0.0506489346681706,0.0925925836902493,0.0445677303412356,"pomca",1
"GO:0061387","BP","GO:0061387","regulation of extent of cell growth","1/12","82/18284",0.052525122004755,0.0952781282876951,0.0458603676418506,"cdkl5",1
"GO:0060218","BP","GO:0060218","hematopoietic stem cell differentiation","1/12","83/18284",0.0531497620737549,0.0956695717327588,0.0460487817157228,"pomca",1
"GO:0045862","BP","GO:0045862","positive regulation of proteolysis","1/12","86/18284",0.0550214180565247,0.0982825330169984,0.0473064823788521,"mul1a",1
"GO:1990266","BP","GO:1990266","neutrophil migration","1/12","88/18284",0.0562673039311211,0.0997465842415329,0.0480111764005579,"rhogd",1
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","1/12","90/18284",0.057511683914086,0.101185970194708,0.0487039982493645,"tmem33",1
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","1/12","93/18284",0.0593754339613045,0.103386513196131,0.0497631889877911,"mul1a",1
"GO:0032412","BP","GO:0032412","regulation of ion transmembrane transporter activity","1/12","94/18284",0.059995932822965,0.103386513196131,0.0497631889877911,"tmem33",1
"GO:0007051","BP","GO:0007051","spindle organization","1/12","95/18284",0.0606160564516687,0.103386513196131,0.0497631889877911,"senp6b",1
"GO:0097530","BP","GO:0097530","granulocyte migration","1/12","96/18284",0.0612358050537126,0.103386513196131,0.0497631889877911,"rhogd",1
"GO:0022898","BP","GO:0022898","regulation of transmembrane transporter activity","1/12","97/18284",0.0618551788352918,0.103386513196131,0.0497631889877911,"tmem33",1
"GO:0065004","BP","GO:0065004","protein-DNA complex assembly","1/12","97/18284",0.0618551788352918,0.103386513196131,0.0497631889877911,"senp6b",1
"GO:1901342","BP","GO:1901342","regulation of vasculature development","1/12","97/18284",0.0618551788352918,0.103386513196131,0.0497631889877911,"tmem33",1
"GO:0032409","BP","GO:0032409","regulation of transporter activity","1/12","98/18284",0.0624741780024977,0.103680550727549,0.0499047185238317,"tmem33",1
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","1/12","101/18284",0.0643289298772748,0.106006828107622,0.0510244291836057,"tmem33",1
"GO:0008361","BP","GO:0008361","regulation of cell size","1/12","104/18284",0.0661803176322417,0.108295065216396,0.052125829861243,"cdkl5",1
"GO:0070646","BP","GO:0070646","protein modification by small protein removal","1/12","107/18284",0.0680283468153926,0.109503309008558,0.0527073956991262,"senp6b",1
"GO:0006909","BP","GO:0006909","phagocytosis","1/12","108/18284",0.0686436111515439,0.109503309008558,0.0527073956991262,"rhogd",1
"GO:0032886","BP","GO:0032886","regulation of microtubule-based process","1/12","109/18284",0.0692585031336181,0.109503309008558,0.0527073956991262,"senp6b",1
"GO:0048638","BP","GO:0048638","regulation of developmental growth","1/12","109/18284",0.0692585031336181,0.109503309008558,0.0527073956991262,"cdkl5",1
"GO:0048675","BP","GO:0048675","axon extension","1/12","109/18284",0.0692585031336181,0.109503309008558,0.0527073956991262,"cdkl5",1
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","1/12","111/18284",0.0704871708549214,0.110697973020481,0.0532824251605552,"rhogd",1
"GO:0051648","BP","GO:0051648","vesicle localization","1/12","112/18284",0.0711009470035893,0.110917477325599,0.0533880795044495,"pomca",1
"GO:1904062","BP","GO:1904062","regulation of cation transmembrane transport","1/12","113/18284",0.0717143516170581,0.111133498532395,0.0534920573232849,"tmem33",1
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","1/12","115/18284",0.0729400470561621,0.112289282968039,0.0540483728186243,"senp6b",1
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","1/12","118/18284",0.0747758088091851,0.113620384813957,0.0546890741119809,"rhogd",1
"GO:1990138","BP","GO:1990138","neuron projection extension","1/12","118/18284",0.0747758088091851,0.113620384813957,0.0546890741119809,"cdkl5",1
"GO:0018105","BP","GO:0018105","peptidyl-serine phosphorylation","1/12","119/18284",0.0753869885017042,0.113810034254186,0.0547803583679616,"rps6ka4",1
"GO:0018209","BP","GO:0018209","peptidyl-serine modification","1/12","125/18284",0.0790463015575085,0.118569452336263,0.0570712163741795,"rps6ka4",1
"GO:0022618","BP","GO:0022618","ribonucleoprotein complex assembly","1/12","132/18284",0.0832987189197354,0.122424732485946,0.058926884282484,"si:dkey-86e18.1",1
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","1/12","133/18284",0.0839047356326574,0.122424732485946,0.058926884282484,"mul1a",1
"GO:0002244","BP","GO:0002244","hematopoietic progenitor cell differentiation","1/12","134/18284",0.0845103850829585,0.122424732485946,0.058926884282484,"pomca",1
"GO:0048588","BP","GO:0048588","developmental cell growth","1/12","134/18284",0.0845103850829585,0.122424732485946,0.058926884282484,"cdkl5",1
"GO:0002040","BP","GO:0002040","sprouting angiogenesis","1/12","135/18284",0.0851156674729862,0.122424732485946,0.058926884282484,"tmem33",1
"GO:0030509","BP","GO:0030509","BMP signaling pathway","1/12","137/18284",0.0863251318811156,0.122424732485946,0.058926884282484,"gdf9",1
"GO:0071772","BP","GO:0071772","response to BMP","1/12","137/18284",0.0863251318811156,0.122424732485946,0.058926884282484,"gdf9",1
"GO:0071773","BP","GO:0071773","cellular response to BMP stimulus","1/12","137/18284",0.0863251318811156,0.122424732485946,0.058926884282484,"gdf9",1
"GO:0071826","BP","GO:0071826","ribonucleoprotein complex subunit organization","1/12","137/18284",0.0863251318811156,0.122424732485946,0.058926884282484,"si:dkey-86e18.1",1
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","1/12","139/18284",0.0875331304738282,0.123390075487204,0.05939153431008,"senp6b",1
"GO:0043473","BP","GO:0043473","pigmentation","1/12","144/18284",0.0905467246088312,0.126873853643512,0.0610683865940431,"pomca",1
"GO:0050900","BP","GO:0050900","leukocyte migration","1/12","150/18284",0.0941509933809963,0.131138883637816,0.0631212800236003,"rhogd",1
"GO:0030155","BP","GO:0030155","regulation of cell adhesion","1/12","154/18284",0.0965465598223852,0.132116345020106,0.0635917630101275,"plxna1a",1
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","1/12","154/18284",0.0965465598223852,0.132116345020106,0.0635917630101275,"tmem33",1
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","1/12","154/18284",0.0965465598223852,0.132116345020106,0.0635917630101275,"gdf9",1
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","1/12","161/18284",0.100724831973756,0.137032620243365,0.0659581213047238,"tmem33",1
"GO:0003006","BP","GO:0003006","developmental process involved in reproduction","1/12","162/18284",0.101320279858561,0.13704592766996,0.0659645265887799,"gdf9",1
"GO:0001934","BP","GO:0001934","positive regulation of protein phosphorylation","1/12","171/18284",0.106663070156658,0.143443439176195,0.0690438506156225,"gdf9",1
"GO:0018205","BP","GO:0018205","peptidyl-lysine modification","1/12","176/18284",0.109618690178795,0.146575848581931,0.0705515780398859,"senp6b",1
"GO:0006816","BP","GO:0006816","calcium ion transport","1/12","181/18284",0.112565343903499,0.149660741326243,0.0720364341966173,"tmem33",1
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis","1/12","188/18284",0.116675642821372,0.15424915491639,0.0742449823484197,"cdkl5",1
"GO:0030162","BP","GO:0030162","regulation of proteolysis","1/12","205/18284",0.126585249508843,0.16640982238803,0.0800982950765595,"mul1a",1
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","1/12","212/18284",0.130635973383453,0.168699290895391,0.081200288465168,"rhogd",1
"GO:0048285","BP","GO:0048285","organelle fission","1/12","212/18284",0.130635973383453,0.168699290895391,0.081200288465168,"mul1a",1
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","1/12","214/18284",0.131790155895126,0.168699290895391,0.081200288465168,"gdf9",1
