"","gene","peak_snp","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank.x.5","rank.y.5","rank.x.6","rank.y.6","rank.x.7","rank.y.7","rank.x.8","rank.y.8","rank.x.9","rank.y.9","rank.x.10","rank.y.10","rank.x.11","rank.y.11","rank.x.12","rank.y.12","rank.x.13","rank.y.13","rank.x.14","rank.y.14","rank.x.15","rank.y.15","rank.x.16","rank.y.16","rank.x.17","rank.y.17","rank.x.18","rank.y.18","rank.x.19","rank.y.19","rank.x.20","rank.y.20","rank.x.21","rank.y.21","rank.x.22","rank.y.22","rank.x.23","rank.y.23","rank.x.24","rank.y.24","rank.x.25","rank.y.25","rank.x.26","rank.y.26","rank.x.27","rank.y.27","rank.x.28","rank.y.28","rank.x.29","rank.y.29","rank.x.30","rank.y.30","rank.x.31","rank.y.31","rank.x.32","rank.y.32","rank.x.33","rank.y.33","rank.x.34","rank.y.34","rank.x.35","rank.y.35","rank.x.36","rank.y.36","rank.x.37","rank.y.37","rank.x.38","rank.y.38","rank.x.39","rank.y.39","rank.x.40","rank.y.40","rank.x.41","rank.y.41","rank.x.42","rank.y.42","rank.x.43","rank.y.43","rank.x.44","rank.y.44","rank.x.45","rank.y.45","rank.x.46","rank.y.46","rank.x.47","rank.y.47","rank.x.48","rank.y.48","rank.x.49","rank.y.49"
"14","camk2n1a","2:44880680",18,19,20,15,20,20,12,20,20,11,21,22,11,18,22,13,22,16,20,17,10,20,18,19,16,19,18,21,14,20,18,17,21,15,21,21,20,4,20,9,12,20,9,14,15,17,14,21,22,7,13,22,9,9,19,20,9,11,17,12,17,12,11,17,14,18,22,11,20,21,18,17,20,19,15,17,11,20,20,18,20,14,11,19,16,12,17,14,17,20,17,14,19,12,20,17,17,22,12,18
"15","camk2n1a","2:45038809",4,6,5,4,6,5,5,5,6,5,4,6,5,5,5,6,5,5,4,5,5,6,6,5,5,5,5,6,6,6,6,5,6,5,5,6,6,5,5,5,3,4,6,6,5,5,6,6,6,6,6,6,5,5,6,5,5,5,5,5,5,6,5,5,5,5,6,5,5,4,3,5,6,6,5,6,6,5,5,5,6,5,4,5,6,5,6,5,5,5,6,4,6,5,6,6,6,4,6,6
"16","capn10","2:44880680",24,23,25,26,23,25,24,24,23,25,24,24,23,23,24,25,26,23,23,22,23,25,23,23,23,24,23,23,23,23,23,23,23,23,24,24,24,23,23,23,24,26,23,24,24,23,25,25,23,23,23,23,23,23,22,25,23,25,26,24,24,24,23,23,22,23,24,25,23,22,24,27,25,24,24,24,24,24,24,23,25,23,25,24,24,23,25,23,23,24,23,23,24,24,23,24,25,28,23,23
"17","capn10","2:45038809",9,7,8,7,8,7,8,8,7,7,7,7,8,8,8,7,7,7,7,8,7,7,8,8,8,8,8,7,8,8,7,7,7,7,8,7,7,7,7,7,8,7,7,7,8,8,7,8,7,8,8,7,7,8,8,8,7,7,7,7,8,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,8,8,7,7,8,8,7,7,7,8,8,7,7,7,7,7,7,8,8,7,7,8,9,9
"18","ccl19a.1","5:12451112",9,12,9,7,12,7,11,9,13,10,11,10,6,14,10,14,11,12,9,9,11,11,12,11,11,8,10,10,13,12,8,9,11,13,9,12,8,9,12,12,9,13,12,8,9,8,11,9,11,11,12,9,12,7,11,10,12,9,12,10,11,11,7,10,10,11,12,10,6,11,11,11,7,12,10,10,14,12,8,14,7,14,11,10,8,13,11,13,11,10,10,10,8,12,7,8,8,10,10,12
"19","ccl19a.2","5:12451112",10,7,10,11,5,10,13,10,9,11,7,13,12,9,9,8,12,10,10,10,8,10,10,12,15,12,8,9,11,9,10,11,10,6,10,7,11,10,7,11,11,7,10,10,11,15,9,12,13,8,9,10,6,13,8,8,11,12,6,13,8,12,9,8,11,15,10,8,11,9,13,10,11,9,14,7,5,10,9,10,12,9,10,11,12,10,7,11,8,11,11,8,9,10,12,14,11,9,12,11
"20","ccna2","14:46314911",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"21","cdkl5","11:29830387",3,4,3,5,6,5,4,7,6,6,5,5,9,13,12,8,6,3,8,5,4,5,4,6,7,13,4,4,2,7,7,2,7,4,7,7,5,7,5,4,8,6,7,8,13,7,5,5,5,4,5,12,4,4,11,5,7,4,8,8,8,5,8,5,3,4,6,2,7,8,6,4,5,6,8,8,8,5,11,7,5,8,5,6,6,7,3,5,4,6,6,3,12,6,12,3,3,4,6,7
"22","cflara","11:29830387",16,16,18,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,17,17,16,16,17,16,16,19,16,16,16,17,16,16,16,18,16,17,16,16,16,16,16,16,16,16,16,18,16,16,16,17,16,17,17,16,16,16,18,19,16,16,16,18,20,16,16,16,16,16,16,16,17,17,16,16,19,16,16,17,16,16,16,16,19,17,16,19,18,19,19,16,17,17,16,16,16,17,16,17,18
"23","chd5","11:29830387",1,1,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,2,3,1,1,1,2,2,1,1,2,1,3,1,1,1,2,1,1,1,2,1,5,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,5,1,1,1,2,1,1,1,3,1,4,4,1,2,2,2,1,2,1,2,1,1,1,4,2,1,1,1,2,2,2,2,1
"24","chrng","2:44880680",31,31,31,31,31,30,31,31,31,30,31,31,31,31,30,31,31,31,31,31,31,31,30,30,31,31,31,31,30,31,31,31,31,31,31,30,30,31,31,31,31,31,30,31,31,31,31,30,31,31,31,31,30,31,31,31,31,31,29,31,31,30,31,31,31,31,31,30,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,30
"25","chrng","2:45038809",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"26","colec11","17:36400200",3,2,3,4,1,2,2,4,3,2,3,3,3,3,4,2,2,1,4,3,5,2,4,4,3,3,4,3,4,4,1,4,4,4,1,1,2,2,2,3,3,3,1,4,2,1,2,2,5,4,3,4,2,2,1,4,1,4,2,3,2,2,4,3,3,1,4,2,2,1,2,4,3,2,2,2,1,1,3,2,2,2,5,2,2,3,4,3,2,1,4,3,1,1,3,3,3,5,1,1
"27","cryba1l1","14:46314911",13,12,13,13,13,13,12,13,13,13,13,12,13,13,13,12,12,13,12,13,13,12,13,12,12,12,12,13,13,12,13,12,13,12,12,12,13,13,13,13,12,12,13,13,13,13,12,12,13,13,12,12,13,13,12,12,12,13,12,13,12,12,13,13,13,13,13,13,13,13,13,12,13,13,13,13,12,13,12,12,12,13,13,12,12,13,13,12,12,13,13,12,12,13,12,13,13,12,13,13
"28","crybb1l1","14:46314911",12,13,12,12,12,12,13,12,12,12,12,13,12,12,12,13,13,12,13,12,12,13,12,13,13,13,13,12,12,13,12,13,12,13,13,13,12,12,12,12,13,13,12,12,12,12,13,13,12,12,13,13,12,12,13,13,13,12,13,12,13,13,12,12,12,12,12,12,12,12,12,13,12,12,12,12,13,12,13,13,13,12,12,13,13,12,12,13,13,12,12,13,13,12,13,12,12,13,12,12
"29","cs","23:34096507",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"30","cybb","11:29830387",24,24,22,24,24,24,21,22,25,24,24,24,24,24,24,20,24,24,24,23,21,19,23,23,18,24,24,25,24,24,24,21,20,23,24,24,20,23,24,24,24,23,23,24,23,24,24,23,23,18,24,25,24,22,25,19,21,23,25,24,24,24,25,22,24,19,24,24,24,24,24,24,25,23,25,23,25,24,19,22,22,23,24,24,21,25,23,24,25,24,23,25,21,20,23,24,24,24,24,21
"31","dlgap2b","20:14046054",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"32","dnajc27","17:33116150",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","dnm3a","20:14046054",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","dnmt3ab","17:36400200",1,1,2,2,2,1,1,2,1,4,4,1,2,2,1,1,1,2,2,2,1,1,1,3,1,1,1,2,1,1,2,1,1,2,2,2,1,1,3,2,1,1,2,2,1,3,1,1,2,1,1,2,1,1,2,5,2,1,1,1,1,1,3,1,1,2,2,1,1,3,1,2,1,1,3,1,2,4,1,1,4,4,1,1,1,2,2,1,4,2,3,2,4,3,1,4,1,2,2,4
"35","dpysl5a","17:36400200",6,5,5,5,5,5,5,6,4,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,7,5,5,5,6,5,6,4,5,5,5,5,5,5,6,5,5,5,5,5,5,4,2,6,5,7,5,6,1,5,2,5,5,4,5,5,5,5,5,5,3,5,6,6,5,4,4,5,5,5,5,6,6,5,3,3,6,5,5,5,5,5,5,6,5,5,5,5,5,6,6,5,5
"36","dynlt3","11:29830387",10,10,10,8,11,10,9,9,5,8,10,11,10,5,6,7,15,8,10,11,11,9,9,7,14,8,12,7,7,8,11,9,12,12,8,8,11,11,8,10,9,10,11,7,9,10,9,11,9,10,8,10,6,10,9,8,9,15,12,9,7,6,9,10,13,8,12,7,5,9,11,15,13,7,9,5,9,6,9,10,12,9,7,7,7,4,14,8,13,8,7,12,13,13,6,10,12,3,8,11
"37","ece2a","2:44880680",27,26,24,24,24,24,26,26,24,23,23,28,24,25,25,24,24,25,26,27,26,24,26,25,27,28,26,25,27,24,25,28,25,25,26,28,27,26,26,24,25,24,24,25,25,30,26,27,25,26,27,26,24,27,24,28,24,26,23,26,23,26,24,26,25,25,25,23,28,25,25,23,24,25,22,25,26,23,26,25,26,26,24,23,25,24,24,26,26,23,26,24,27,28,24,26,26,23,25,25
"38","ece2a","2:45038809",8,10,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,10,9,9,9,9,9,10,9,9,9,8,9,9,9,8,9,10,9,9,9,9,9,9,9,9,9,9,10,9,9,9,8,9,9,9,9,9,9,8,8
"39","eif4e2","2:44880680",7,2,1,8,6,5,6,1,8,5,5,4,1,4,6,8,4,2,1,4,3,7,9,3,5,1,4,1,7,7,3,1,10,1,6,5,1,5,6,6,3,3,1,5,3,2,5,1,2,5,9,5,8,6,1,9,3,9,4,10,1,5,6,14,13,4,10,3,6,6,10,6,10,3,1,4,14,2,5,2,6,7,4,3,15,3,1,10,5,4,3,5,6,9,5,2,6,13,9,5
"40","eif4e2","2:45038809",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"41","elf2a","14:46314911",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"42","faslg","20:14046054",3,3,4,6,2,2,2,3,4,2,3,5,2,3,3,2,3,2,2,2,8,2,2,4,3,3,3,2,3,6,5,4,7,4,2,4,2,2,2,2,7,8,2,4,7,2,2,4,4,2,5,2,4,6,3,2,6,2,2,2,4,5,2,2,3,5,2,3,2,4,4,2,6,3,2,2,4,2,5,2,2,2,2,7,5,4,2,3,2,3,2,3,3,3,2,2,3,2,5,2
"43","fmo5","20:14046054",4,6,2,7,6,8,8,6,7,7,5,6,8,8,2,6,7,8,6,7,2,4,7,5,5,6,6,4,8,8,7,5,3,7,6,2,5,8,8,8,4,7,4,5,4,5,4,8,2,7,7,4,6,7,7,5,3,8,7,5,7,7,6,4,7,3,7,4,5,2,5,8,8,4,7,5,2,7,7,7,4,7,6,4,4,5,5,5,4,6,5,6,6,8,3,5,5,8,7,6
"44","ftr16","2:44880680",10,12,13,14,22,19,10,15,5,4,12,15,12,12,12,12,15,14,9,9,15,14,7,5,17,10,15,5,11,12,12,15,9,16,17,15,6,9,14,20,15,9,16,18,19,10,13,7,8,14,5,10,13,16,14,16,17,19,8,8,14,16,12,12,8,16,12,13,19,13,11,9,14,9,12,10,1,14,8,12,11,18,9,10,12,13,13,13,14,16,18,12,21,13,15,11,13,7,17,4
"45","gal3st1a","5:12451112",17,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,17,18,18,17,18,18,17,18,17,17,18,17,17,18,17,18,18,17,18,17,18,17,17,18,17,17,18,18,18,18,18,18,17,18,17,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,17,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18
"46","gbp3","2:44880680",1,1,2,3,2,11,2,4,4,10,1,7,3,2,4,2,5,1,2,2,4,1,1,2,2,7,1,4,1,4,1,5,6,6,1,2,10,2,1,1,2,1,5,1,2,5,2,3,4,3,4,1,2,1,2,1,5,7,1,9,5,4,2,7,9,1,1,1,1,1,3,5,1,4,7,3,3,1,2,1,3,4,3,1,2,4,6,6,6,3,4,9,1,1,6,3,1,1,1,1
"47","gdf9","14:22461182",4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,3,2,4,3,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,2,3,3,3,4,3,3,3,4,4,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,3
"48","gria3b","14:11581401",10,10,10,10,10,10,11,10,10,11,10,11,10,10,10,10,11,10,10,10,10,10,11,10,10,11,10,11,10,11,11,11,11,10,11,11,10,11,11,10,11,10,11,10,11,11,10,11,11,11,11,11,10,10,11,10,10,11,10,10,10,11,10,10,11,10,10,10,10,10,11,10,11,11,11,10,10,11,10,10,11,10,10,10,10,11,10,10,10,10,10,10,10,10,10,11,11,10,10,11
"49","grpr","11:29830387",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"50","gucy1b2","11:29830387",9,5,8,10,7,9,10,8,11,9,9,6,5,11,9,9,7,10,6,4,14,8,6,10,8,6,8,11,10,6,10,8,4,9,13,6,8,4,6,7,5,4,9,10,8,4,6,10,3,14,6,6,7,7,8,7,4,9,7,10,9,9,5,9,11,7,4,12,9,6,8,9,6,11,3,12,6,7,5,3,11,3,8,5,13,9,4,7,10,7,10,9,9,11,9,13,7,7,7,9
"51","hdac3","14:11581401",7,8,8,6,6,7,6,8,8,7,8,7,7,7,7,7,6,7,8,7,7,6,7,8,7,8,8,7,7,7,8,7,7,6,7,7,8,8,7,7,7,7,7,8,7,6,7,7,7,8,7,6,8,8,7,7,8,7,8,8,7,5,6,7,6,7,7,6,7,7,8,7,7,7,6,7,7,8,7,6,8,7,5,8,7,7,8,7,7,7,5,8,7,8,8,7,7,7,7,7
"52","hsf5","5:3117060",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"53","hspa9","14:11581401",2,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,4,1,2,1,2,2,1,1,1,4,2,1,2,2,1,2,2,3,3,2,2,1,2,1,1,2,2,1,2,1,2,3,1,3,2,2,2,1,1,2,3,1,2,3,1,2,1,1,3,2,3,3,2,2,2,1,2,3,2,3,2,1,2,2,3,2,2,2,2,2,2,2,3,3,2,1,2,1,1,3
"54","htr1b","17:36400200",7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7,7,6,7,7,6,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,6
"55","il1fma","11:29830387",4,6,4,2,5,7,5,6,1,5,7,3,3,3,3,6,9,5,9,8,1,7,3,3,2,1,3,10,5,4,4,12,6,5,4,5,4,8,13,3,3,1,2,4,6,6,4,7,2,7,7,7,2,6,4,3,3,5,5,2,5,8,4,2,8,3,3,3,3,3,2,10,3,3,6,4,3,1,3,5,4,4,3,3,5,6,6,2,6,4,3,4,2,4,11,5,5,5,5,3
"56","impg1b","17:36400200",4,3,4,3,3,3,3,1,5,1,1,5,4,4,2,3,3,4,1,1,3,5,2,2,4,5,2,4,3,3,3,3,3,3,5,3,4,4,4,1,4,4,4,1,3,4,3,3,3,5,4,3,3,3,3,3,3,5,4,4,5,3,2,4,2,3,3,5,3,2,4,3,5,5,1,4,3,3,4,3,3,5,2,4,4,4,3,4,3,4,1,1,2,4,4,2,2,3,4,2
"57","itgb1b","2:44880680",20,22,21,16,21,21,17,22,21,16,22,16,21,20,18,21,21,22,15,21,22,22,22,22,22,22,21,22,18,21,22,22,20,22,22,22,22,22,22,22,22,21,21,22,20,15,20,22,19,18,22,20,22,22,20,22,22,22,22,21,22,22,17,22,23,22,17,16,18,23,19,22,22,22,23,22,22,22,15,20,18,22,20,22,22,22,22,16,21,22,22,22,22,22,21,21,19,19,21,19
"58","itgb1b.1","2:44880680",19,18,19,17,9,18,11,13,15,13,13,20,17,21,19,20,13,20,14,18,18,11,20,18,13,11,17,14,16,17,17,21,22,21,13,17,9,18,11,13,20,22,15,16,16,18,21,14,15,19,19,16,12,18,11,21,15,21,15,18,11,13,20,20,20,15,14,17,17,20,17,18,15,14,16,18,20,16,21,11,16,20,22,12,17,7,12,20,19,14,10,15,16,18,14,18,11,11,15,15
