,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,gene,lookup gene in the geneID column,,
GO:0061157,BP,GO:0061157,mRNA destabilization,4/101,90/18800,0.00140759,0.015738082,0.010914899,YBX1/CNOT1/PARN/MLH1,4,UFL1,54,,
GO:0050779,BP,GO:0050779,RNA destabilization,4/101,94/18800,0.001652651,0.01710851,0.011865337,YBX1/CNOT1/PARN/MLH1,4,HAND1,74,,
GO:0061014,BP,GO:0061014,positive regulation of mRNA catabolic process,4/101,94/18800,0.001652651,0.01710851,0.011865337,YBX1/CNOT1/PARN/MLH1,4,FPGT,#N/A,,
GO:0000956,BP,GO:0000956,nuclear-transcribed mRNA catabolic process,4/101,121/18800,0.004123998,0.030379859,0.021069472,YBX1/CNOT1/PARN/MLH1,4,UACA,357,,
GO:0034655,BP,GO:0034655,nucleobase-containing compound catabolic process,7/101,405/18800,0.006210676,0.038095408,0.026420469,YBX1/CNOT1/DPYD/PRKCD/PDE4D/PARN/MLH1,7,CNOT1,17,,
GO:1900151,BP,GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",2/101,26/18800,0.008539307,0.045406962,0.031491282,YBX1/CNOT1,2,RDX,60,,
GO:0051020,MF,GO:0051020,GTPase binding,7/100,298/18410,0.001203481,0.025981035,0.021014346,YBX1/CDC42BPB/DOCK4/RIMS1/FER/MYO1C/IQGAP1,7,MAPK3,33,,
GO:2000773,BP,GO:2000773,negative regulation of cellular senescence,2/101,21/18800,0.005614758,0.035778294,0.024813471,YBX1/AKT3,2,ABCB1,52,,
GO:0071347,BP,GO:0071347,cellular response to interleukin-1,7/101,111/18800,2.25E-06,0.000637809,0.000442342,VRK2/MAPK3/RORA/YY1/NFKB1/EGR1/CEBPB,7,ATP5B,#N/A,,
GO:0070555,BP,GO:0070555,response to interleukin-1,7/101,141/18800,1.10E-05,0.001116838,0.000774565,VRK2/MAPK3/RORA/YY1/NFKB1/EGR1/CEBPB,7,NLGN4X,3,,
GO:0016572,BP,GO:0016572,histone phosphorylation,4/101,45/18800,9.87E-05,0.00349546,0.002424221,VRK2/MAPK3/PRKCD/CHEK1,4,CDC42BPB,31,,
GO:0070498,BP,GO:0070498,interleukin-1-mediated signaling pathway,3/101,30/18800,0.000549883,0.00870197,0.006035114,VRK2/MAPK3/EGR1,3,RORA,33,,
GO:0106310,MF,GO:0106310,protein serine kinase activity,9/100,360/18410,0.00015054,0.006906033,0.005585834,VRK2/MAPK3/CDC42BPB/PRKD1/PRKCD/PRKCZ/CHEK1/SRPK2/AKT3,9,DOCK4,31,,
GO:0004712,MF,GO:0004712,protein serine/threonine/tyrosine kinase activity,11/100,446/18410,3.04E-05,0.003721642,0.003010191,VRK2/MAPK3/CDC42BPB/PRKD1/PRKCD/FER/PRKCZ/CHEK1/SRPK2/PTK2B/AKT3,11,RIMS1,31,,
GO:0045766,BP,GO:0045766,positive regulation of angiogenesis,6/101,183/18800,0.000462087,0.008181044,0.005673834,VEGFC/PRKD1/THBS1/PTK2B/CD34/AKT3,6,MBTPS2,57,,
GO:1904018,BP,GO:1904018,positive regulation of vasculature development,6/101,183/18800,0.000462087,0.008181044,0.005673834,VEGFC/PRKD1/THBS1/PTK2B/CD34/AKT3,6,MCL1,75,,
GO:0038084,BP,GO:0038084,vascular endothelial growth factor signaling pathway,3/101,50/18800,0.002456119,0.021642748,0.015009986,VEGFC/PRKD1/MYO1C,3,EPB41,109,,
GO:0035924,BP,GO:0035924,cellular response to vascular endothelial growth factor stimulus,3/101,74/18800,0.007403503,0.041552805,0.028818292,VEGFC/PRKD1/MYO1C,3,FGF10,48,,
GO:0006929,BP,GO:0006929,substrate-dependent cell migration,2/101,25/18800,0.00790995,0.043393319,0.030094752,VEGFC/NCK1,2,MEF2C,3,,
GO:0002687,BP,GO:0002687,positive regulation of leukocyte migration,6/101,141/18800,0.000112991,0.003911987,0.002713097,VEGFC/MAPK3/THBS1/LBP/PTK2B/JAM3,6,DPYD,29,,
GO:0002690,BP,GO:0002690,positive regulation of leukocyte chemotaxis,5/101,94/18800,0.000152268,0.004423449,0.003067813,VEGFC/MAPK3/THBS1/LBP/PTK2B,5,IL5RA,443,,
GO:0002688,BP,GO:0002688,regulation of leukocyte chemotaxis,7/101,124/18800,4.71E-06,0.000906362,0.000628593,VEGFC/MAPK3/DPP4/THBS1/LBP/PTK2B/JAM3,7,FOXM1,222,,
GO:0002685,BP,GO:0002685,regulation of leukocyte migration,7/101,218/18800,0.000175007,0.004660877,0.003232478,VEGFC/MAPK3/DPP4/THBS1/LBP/PTK2B/JAM3,7,CCNE1,53,,
GO:0048010,BP,GO:0048010,vascular endothelial growth factor receptor signaling pathway,4/101,58/18800,0.00026647,0.006196433,0.004297439,VEGFC/FGF10/PRKD1/PTK2B,4,PRKD1,2,,
GO:0050930,BP,GO:0050930,induction of positive chemotaxis,2/101,14/18800,0.002493336,0.021642748,0.015009986,VEGFC/FGF10,2,LRRN3,3,,
GO:0050927,BP,GO:0050927,positive regulation of positive chemotaxis,2/101,25/18800,0.00790995,0.043393319,0.030094752,VEGFC/FGF10,2,PPARGC1A,84,,
GO:0050926,BP,GO:0050926,regulation of positive chemotaxis,2/101,26/18800,0.008539307,0.045406962,0.031491282,VEGFC/FGF10,2,RGS6,107,,
GO:0009410,BP,GO:0009410,response to xenobiotic stimulus,9/101,411/18800,0.000370479,0.007215081,0.005003905,VEGFC/ABCB1/RORA/MEF2C/THBS1/PTK2B/CDH1/SREBF1/GRIN2A,9,ZBTB16,6,,
GO:0072089,BP,GO:0072089,stem cell proliferation,4/101,76/18800,0.000748439,0.01055265,0.007318624,VEGFC/ABCB1/CCNE1/CD34,4,PRKCD,15,,
GO:0014009,BP,GO:0014009,glial cell proliferation,3/101,44/18800,0.001698718,0.017298056,0.011996794,UFL1/PPP1CC/PTK2B,3,YY1,9,,
GO:0060252,BP,GO:0060252,positive regulation of glial cell proliferation,2/101,17/18800,0.003687397,0.028230782,0.019579014,UFL1/PPP1CC,2,EIF2B1,502,,
GO:1900102,BP,GO:1900102,negative regulation of endoplasmic reticulum unfolded protein response,2/101,15/18800,0.002866874,0.023758456,0.016477302,UFL1/NCK1,2,UBA52,641,,
GO:0006986,BP,GO:0006986,response to unfolded protein,6/101,139/18800,0.000104443,0.003656684,0.002536035,UFL1/MBTPS2/THBS1/HSPD1/NCK1/HSPA8,6,DPP4,6,,
GO:0030968,BP,GO:0030968,endoplasmic reticulum unfolded protein response,3/101,76/18800,0.007967271,0.043402127,0.03010086,UFL1/MBTPS2/NCK1,3,NFKB1,33,,
GO:0034620,BP,GO:0034620,cellular response to unfolded protein,5/101,98/18800,0.000185222,0.004891121,0.00339216,UFL1/MBTPS2/HSPD1/NCK1/HSPA8,5,EBAG9,560,,
GO:0110053,BP,GO:0110053,regulation of actin filament organization,7/101,270/18800,0.000635746,0.009613536,0.006667316,TRIM27/RDX/PRKCD/FER/TMEFF2/PTK2B/NCK1,7,DGKI,361,,
GO:0032970,BP,GO:0032970,regulation of actin filament-based process,10/101,393/18800,5.03E-05,0.002352938,0.001631843,TRIM27/RDX/PRKCD/FER/PDE4D/IQGAP1/TMEFF2/PTK2B/NCK1/JAM3,10,ZNF638,#N/A,,
GO:0032956,BP,GO:0032956,regulation of actin cytoskeleton organization,9/101,352/18800,0.000117376,0.003975478,0.00275713,TRIM27/RDX/PRKCD/FER/IQGAP1/TMEFF2/PTK2B/NCK1/JAM3,9,EGR1,33,,
GO:0051092,BP,GO:0051092,positive regulation of NF-kappaB transcription factor activity,5/101,154/18800,0.00145552,0.016082978,0.011154095,TRIM27/PRKD1/FER/PRKCZ/EDA,5,BAI1,#N/A,,
GO:0032729,BP,GO:0032729,positive regulation of interferon-gamma production,3/101,77/18800,0.008258395,0.044753318,0.031037957,TRIM27/PDE4D/HSPD1,3,EEA1,107,,
GO:0032623,BP,GO:0032623,interleukin-2 production,3/101,63/18800,0.004732064,0.032549914,0.02257448,TRIM27/PDE4D/CD34,3,SATB1,82,,
GO:0032663,BP,GO:0032663,regulation of interleukin-2 production,3/101,63/18800,0.004732064,0.032549914,0.02257448,TRIM27/PDE4D/CD34,3,FER,31,,
GO:0002819,BP,GO:0002819,regulation of adaptive immune response,5/101,188/18800,0.003462011,0.027036659,0.018750848,TRIM27/MEF2C/PRKCZ/HSPD1/MLH1,5,PDE4D,29,,
GO:0032720,BP,GO:0032720,negative regulation of tumor necrosis factor production,3/101,77/18800,0.008258395,0.044753318,0.031037957,TRIM27/LBP/CD34,3,MYO1C,31,,
GO:1903556,BP,GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,3/101,79/18800,0.008859267,0.046552234,0.032285567,TRIM27/LBP/CD34,3,PRKCZ,6,,
GO:0032703,NA,GO:0032703,negative regulation of interleukin-2 production,2/101,28/18800,0.009862941,0.04981025,0.034545113,TRIM27/CD34,2,IQGAP1,31,,
GO:0043122,BP,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,6/101,254/18800,0.0024935,0.021642748,0.015009986,TLE1/TRIM27/UFL1/RORA/PRKD1/EDA,6,PPP1CC,54,,
GO:0007249,BP,GO:0007249,I-kappaB kinase/NF-kappaB signaling,6/101,288/18800,0.004614129,0.032382042,0.022458054,TLE1/TRIM27/UFL1/RORA/PRKD1/EDA,6,CHEK1,35,,
GO:1990907,CC,GO:1990907,beta-catenin-TCF complex,2/102,13/19594,0.002016232,0.020864821,0.015136641,TLE1/TCF4,2,THBS1,14,,
GO:0090575,CC,GO:0090575,RNA polymerase II transcription regulator complex,5/102,230/19594,0.007072931,0.048688084,0.03532137,TLE1/TAF5/HAND1/CEBPB/TCF4,5,POLD1,151,,
GO:2000811,BP,GO:2000811,negative regulation of anoikis,2/101,17/18800,0.003687397,0.028230782,0.019579014,TLE1/MCL1,2,EDA,63,,
GO:2000209,BP,GO:2000209,regulation of anoikis,2/101,24/18800,0.007302565,0.041222453,0.028589182,TLE1/MCL1,2,TMEFF2,60,,
GO:0010752,BP,GO:0010752,regulation of cGMP-mediated signaling,2/101,14/18800,0.002493336,0.021642748,0.015009986,THBS1/PTK2B,2,XRCC6,81,,
GO:0043032,BP,GO:0043032,positive regulation of macrophage activation,3/101,30/18800,0.000549883,0.00870197,0.006035114,THBS1/LBP/HSPD1,3,LBP,44,,
GO:0071636,NA,GO:0071636,positive regulation of transforming growth factor beta production,2/101,21/18800,0.005614758,0.035778294,0.024813471,THBS1/CD34,2,HSPD1,6,,
GO:0015629,CC,GO:0015629,actin cytoskeleton,9/102,499/19594,0.00118122,0.015201791,0.011028326,TAF5/RDX/CDC42BPB/FER/MYO1C/PRKCZ/IQGAP1/JAM3/CDH1,9,SRPK2,18,,
GO:0005667,CC,GO:0005667,transcription regulator complex,10/102,483/19594,0.000212038,0.00460003,0.003337148,SATB2/TLE1/TAF5/HAND1/ZBTB16/YY1/XRCC6/CEBPB/TCF4/SOX2,10,PAPPA2,419,,
GO:0016363,CC,GO:0016363,nuclear matrix,6/102,109/19594,2.25E-05,0.001667041,0.001209376,SATB2/PRKCD/YY1/SATB1/PRKCZ/CEBPB,6,SATB2,81,,
GO:0034399,CC,GO:0034399,nuclear periphery,6/102,127/19594,5.33E-05,0.002255202,0.001636064,SATB2/PRKCD/YY1/SATB1/PRKCZ/CEBPB,6,DGKD,212,,
GO:0061448,BP,GO:0061448,connective tissue development,9/101,260/18800,1.11E-05,0.001116838,0.000774565,SATB2/PDGFB/HAND1/MAPK3/MEF2C/PPARGC1A/ZBTB16/EGR1/CD34,9,CAPRIN2,2,,
GO:0048568,BP,GO:0048568,embryonic organ development,9/101,449/18800,0.000699761,0.010141648,0.00703358,SATB2/PDGFB/HAND1/MAPK3/FGF10/MEF2C/CHD7/CEBPB/MMP16,9,CHD7,8,,
GO:0001228,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",11/100,462/18410,4.19E-05,0.003845875,0.003110675,SATB2/HAND1/MEF2C/ZBTB16/YY1/NFKB1/EGR1/CEBPB/TCF4/SREBF1/SOX2,11,CEBPB,33,,
GO:0001216,MF,GO:0001216,DNA-binding transcription activator activity,12/100,466/18410,8.40E-06,0.003082347,0.002493108,SATB2/HAND1/MEF2C/ZBTB16/YY1/NFKB1/EGR1/CEBPB/TCF4/SREBF1/BNC1/SOX2,12,TCF4,73,,
GO:0051216,BP,GO:0051216,cartilage development,5/101,195/18800,0.004043924,0.030363535,0.021058151,SATB2/HAND1/MAPK3/MEF2C/ZBTB16,5,PTK2B,2,,
GO:0048562,BP,GO:0048562,embryonic organ morphogenesis,7/101,294/18800,0.001046307,0.013482256,0.009350406,SATB2/HAND1/MAPK3/FGF10/MEF2C/CHD7/MMP16,7,PARN,17,,
GO:0009880,BP,GO:0009880,embryonic pattern specification,3/101,74/18800,0.007403503,0.041552805,0.028818292,SATB2/FGF10/ZBTB16,3,NCK1,2,,
GO:0030098,BP,GO:0030098,lymphocyte differentiation,8/101,382/18800,0.001054844,0.013482256,0.009350406,RORA/ZBTB16/YY1/EGR1/PRKCZ/XRCC6/CHD7/PTK2B,8,JAM3,44,,
GO:1903131,BP,GO:1903131,mononuclear cell differentiation,9/101,433/18800,0.000540048,0.00870197,0.006035114,RORA/ZBTB16/YY1/EGR1/PRKCZ/XRCC6/CHD7/CEBPB/PTK2B,9,CD34,39,,
GO:0043030,BP,GO:0043030,regulation of macrophage activation,4/101,62/18800,0.000344657,0.007019286,0.004868115,RORA/THBS1/LBP/HSPD1,4,MLH1,9,,
GO:0042116,BP,GO:0042116,macrophage activation,4/101,106/18800,0.002563482,0.021944533,0.015219284,RORA/THBS1/LBP/HSPD1,4,AKT3,32,,
GO:0006809,BP,GO:0006809,nitric oxide biosynthetic process,3/101,75/18800,0.007682317,0.042594484,0.029540732,RORA/PTK2B/CD34,3,HSPA8,3,,
GO:0046209,BP,GO:0046209,nitric oxide metabolic process,3/101,81/18800,0.009485154,0.048771848,0.033824946,RORA/PTK2B/CD34,3,PODXL,6,,
GO:2001057,BP,GO:2001057,reactive nitrogen species metabolic process,3/101,82/18800,0.009807543,0.04981025,0.034545113,RORA/PTK2B/CD34,3,MMP16,85,,
GO:0002285,BP,GO:0002285,lymphocyte activation involved in immune response,5/101,201/18800,0.004595816,0.032382042,0.022458054,RORA/PRKCZ/HSPD1/PTK2B/MLH1,5,MRC1,438,,
GO:0002274,BP,GO:0002274,myeloid leukocyte activation,6/101,232/18800,0.00158199,0.01688178,0.011708092,RORA/PRKCD/FER/THBS1/LBP/HSPD1,6,PSMA4,#N/A,,
GO:0007623,BP,GO:0007623,circadian rhythm,5/101,205/18800,0.004992312,0.033671092,0.023352054,RORA/PPARGC1A/EGR1/PPP1CC/SREBF1,5,CDH1,3,,
GO:0032922,BP,GO:0032922,circadian regulation of gene expression,4/101,69/18800,0.000518997,0.008511555,0.005903055,RORA/PPARGC1A/EGR1/PPP1CC,4,SREBF1,52,,
GO:0019218,BP,GO:0019218,regulation of steroid metabolic process,5/101,104/18800,0.000244533,0.005772464,0.004003401,RORA/MBTPS2/NFKB1/EGR1/SREBF1,5,PSMD6,181,,
GO:0002366,BP,GO:0002366,leukocyte activation involved in immune response,7/101,285/18800,0.000873239,0.01193426,0.008276818,RORA/FER/PRKCZ/LBP/HSPD1/PTK2B/MLH1,7,SSRP1,340,,
GO:0002263,BP,GO:0002263,cell activation involved in immune response,7/101,289/18800,0.000947117,0.012775825,0.008860472,RORA/FER/PRKCZ/LBP/HSPD1/PTK2B/MLH1,7,BNC1,87,,
GO:2000463,BP,GO:2000463,positive regulation of excitatory postsynaptic potential,3/101,25/18800,0.000317639,0.006745019,0.004677901,RIMS1/PRKCZ/PTK2B,3,XRCC6,81,,
GO:0048167,BP,GO:0048167,regulation of synaptic plasticity,5/101,198/18800,0.004313565,0.03131903,0.021720819,RIMS1/MEF2C/PRKCZ/PTK2B/GRIN2A,5,TCF4,73,,
GO:0019898,CC,GO:0019898,extrinsic component of membrane,6/102,314/19594,0.006011589,0.044485762,0.032272743,RGS6/EEA1/FER/IQGAP1/PTK2B/CDH1,6,SOX2,6,,
GO:0022407,BP,GO:0022407,regulation of cell-cell adhesion,11/101,456/18800,3.38E-05,0.002067201,0.001433675,RDX/ZBTB16/PRKCD/DPP4/PRKCZ/HSPD1/CEBPB/NCK1/PODXL/CDH1/SOX2,11,GRIN2A,52,,
GO:0005938,CC,GO:0005938,cell cortex,9/102,310/19594,3.49E-05,0.001723018,0.001249985,RDX/RIMS1/EPB41/PRKD1/FER/PRKCZ/IQGAP1/PTK2B/CDH1,9,,1,,
GO:0030863,CC,GO:0030863,cortical cytoskeleton,5/102,107/19594,0.000241833,0.00460003,0.003337148,RDX/RIMS1/EPB41/IQGAP1/CDH1,5,,1,,
GO:0032388,BP,GO:0032388,positive regulation of intracellular transport,5/101,198/18800,0.004313565,0.03131903,0.021720819,RDX/PRKD1/PRKCD/MYO1C/CDH1,5,,1,,
GO:0007162,BP,GO:0007162,negative regulation of cell adhesion,7/101,305/18800,0.001293335,0.015175234,0.010524544,RDX/PRKCD/THBS1/CEBPB/JAM3/PODXL/CDH1,7,,1,,
GO:0030833,BP,GO:0030833,regulation of actin filament polymerization,5/101,139/18800,0.000922212,0.012548532,0.008702837,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0008064,BP,GO:0008064,regulation of actin polymerization or depolymerization,5/101,158/18800,0.001629727,0.017041037,0.011818542,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0030832,BP,GO:0030832,regulation of actin filament length,5/101,159/18800,0.001675573,0.017288365,0.011990073,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0030041,BP,GO:0030041,actin filament polymerization,5/101,169/18800,0.002187709,0.020348959,0.014112699,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0008154,BP,GO:0008154,actin polymerization or depolymerization,5/101,199/18800,0.004406232,0.031708591,0.021990993,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0032271,BP,GO:0032271,regulation of protein polymerization,5/101,201/18800,0.004595816,0.032382042,0.022458054,RDX/PRKCD/FER/PTK2B/NCK1,5,,1,,
GO:0022408,BP,GO:0022408,negative regulation of cell-cell adhesion,5/101,199/18800,0.004406232,0.031708591,0.021990993,RDX/PRKCD/CEBPB/PODXL/CDH1,5,,1,,
GO:0034111,BP,GO:0034111,negative regulation of homotypic cell-cell adhesion,2/101,14/18800,0.002493336,0.021642748,0.015009986,RDX/PRKCD,2,,1,,
GO:0045216,BP,GO:0045216,cell-cell junction organization,5/101,205/18800,0.004992312,0.033671092,0.023352054,RDX/NLGN4X/MYO1C/JAM3/CDH1,5,,1,,
GO:0005902,CC,GO:0005902,microvillus,4/102,90/19594,0.001255093,0.015479481,0.01122978,RDX/MYO1C/JAM3/PODXL,4,,1,,
GO:0045022,BP,GO:0045022,early endosome to late endosome transport,3/101,42/18800,0.001483941,0.016167697,0.011212851,RDX/MAPK3/EEA1,3,,1,,
GO:0098927,BP,GO:0098927,vesicle-mediated transport between endosomal compartments,3/101,45/18800,0.001813004,0.017900435,0.012414564,RDX/MAPK3/EEA1,3,,1,,
GO:2000641,BP,GO:2000641,regulation of early endosome to late endosome transport,2/101,18/18800,0.004133845,0.030379859,0.021069472,RDX/MAPK3,2,,1,,
GO:1903649,BP,GO:1903649,regulation of cytoplasmic transport,2/101,28/18800,0.009862941,0.04981025,0.034545113,RDX/MAPK3,2,,1,,
GO:0034332,BP,GO:0034332,adherens junction organization,3/101,50/18800,0.002456119,0.021642748,0.015009986,RDX/JAM3/CDH1,3,,1,,
GO:0045176,BP,GO:0045176,apical protein localization,2/101,15/18800,0.002866874,0.023758456,0.016477302,RDX/JAM3,2,,1,,
GO:0098858,CC,GO:0098858,actin-based cell projection,5/102,217/19594,0.005559111,0.043302546,0.031414365,RDX/DOCK4/MYO1C/JAM3/PODXL,5,,1,,
GO:0010226,BP,GO:0010226,response to lithium ion,2/101,22/18800,0.006154715,0.03790137,0.026285897,PTK2B/CDH1,2,,1,,
GO:0001556,BP,GO:0001556,oocyte maturation,2/101,27/18800,0.009190386,0.04757017,0.032991541,PTK2B/BNC1,2,,1,,
GO:2001026,BP,GO:2001026,regulation of endothelial cell chemotaxis,2/101,24/18800,0.007302565,0.041222453,0.028589182,PRKD1/THBS1,2,,1,,
GO:0031065,BP,GO:0031065,positive regulation of histone deacetylation,2/101,22/18800,0.006154715,0.03790137,0.026285897,PRKD1/SREBF1,2,,1,,
GO:0090312,BP,GO:0090312,positive regulation of protein deacetylation,2/101,28/18800,0.009862941,0.04981025,0.034545113,PRKD1/SREBF1,2,,1,,
GO:0004698,MF,GO:0004698,calcium-dependent protein kinase C activity,3/100,16/18410,8.27E-05,0.005059938,0.00409265,PRKD1/PRKCD/PRKCZ,3,,1,,
GO:0004697,MF,GO:0004697,protein kinase C activity,3/100,17/18410,0.000100054,0.005245711,0.00424291,PRKD1/PRKCD/PRKCZ,3,,1,,
GO:0009931,MF,GO:0009931,calcium-dependent protein serine/threonine kinase activity,3/100,22/18410,0.000222167,0.009059478,0.007327615,PRKD1/PRKCD/PRKCZ,3,,1,,
GO:0010857,MF,GO:0010857,calcium-dependent protein kinase activity,3/100,23/18410,0.000254487,0.009339659,0.007554234,PRKD1/PRKCD/PRKCZ,3,,1,,
GO:0017038,BP,GO:0017038,protein import,5/101,210/18800,0.005521381,0.035778294,0.024813471,PRKD1/PRKCD/HSPD1/HSPA8/CDH1,5,,1,,
GO:1904589,BP,GO:1904589,regulation of protein import,4/101,61/18800,0.000323747,0.006745019,0.004677901,PRKD1/PRKCD/HSPA8/CDH1,4,,1,,
GO:0042307,NA,GO:0042307,positive regulation of protein import into nucleus,3/101,39/18800,0.001195186,0.014604708,0.010128865,PRKD1/PRKCD/CDH1,3,,1,,
GO:1904591,NA,GO:1904591,positive regulation of protein import,3/101,42/18800,0.001483941,0.016167697,0.011212851,PRKD1/PRKCD/CDH1,3,,1,,
GO:0042306,BP,GO:0042306,regulation of protein import into nucleus,3/101,57/18800,0.003568551,0.027660711,0.01918365,PRKD1/PRKCD/CDH1,3,,1,,
GO:0046824,BP,GO:0046824,positive regulation of nucleocytoplasmic transport,3/101,60/18800,0.004125313,0.030379859,0.021069472,PRKD1/PRKCD/CDH1,3,,1,,
GO:0033194,NA,GO:0033194,response to hydroperoxide,2/101,17/18800,0.003687397,0.028230782,0.019579014,PRKD1/PRKCD,2,,1,,
GO:0007160,BP,GO:0007160,cell-matrix adhesion,6/101,235/18800,0.001688344,0.017298056,0.011996794,PRKCZ/THBS1/EDA/PTK2B/JAM3/CD34,6,,1,,
GO:0032733,NA,GO:0032733,positive regulation of interleukin-10 production,3/101,41/18800,0.001383308,0.015689503,0.010881207,PRKCZ/HSPD1/CD34,3,,1,,
GO:0032613,NA,GO:0032613,interleukin-10 production,3/101,63/18800,0.004732064,0.032549914,0.02257448,PRKCZ/HSPD1/CD34,3,,1,,
GO:0032653,NA,GO:0032653,regulation of interleukin-10 production,3/101,63/18800,0.004732064,0.032549914,0.02257448,PRKCZ/HSPD1/CD34,3,,1,,
